Experiment Number,G Band Area Result,Diameter Control Result,Patch,Pillar,C2H4 Flow Rate [sccm],Ar/CO2 Flow Rate [sccm],CO2 Flow Rate [sccm],Temperature [C],Water [ppm],Pressure [Torr],488 control,633 control,785 control,488 diff,633 diff,785 diff,Control Center,488 raw control,488 raw center,633 raw control,633 raw center,785 raw control,785 raw center,Control Width,Total Control,Mean Control,488 Agreement,633 Agreement,785 Agreement,Mean Agreement
41,5.036503573,0.23160605,38,24,101,260.5,26.05,785.6,1.02,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,8.55785023,0.61008681,38,25,71.5,344,34.4,739.1,1.01,10,0.41349733,0.012445515,0.670642907,-0.17300534,-0.97510897,0.341285814,226.8514684,0.400997646,213.7001953,0.084431745,286.1923828,0.243587733,245.1538086,52.9869687,1.096585752,0.365528584,0.677768021,0.020399581,1.099258165,0.599141922
43,7.777815775,0.571437989,39,1,95.5,313,31.3,747.35,1,10,0.41893387,0.383969825,0.143608747,-0.16213226,-0.23206035,-0.712782506,277.2970617,0.569374138,265.8486328,0.141542953,307.8110352,0.293371065,245.1538086,43.10249089,0.946512442,0.315504147,0.73312219,0.671936119,0.251311165,0.552123158
44,7.097686704,0.266013671,39,2,86.5,360,36,745.6,0.994,10,0,0,0.004475206,-1,-1,-0.991049588,317.9334489,0.410953889,213.7001953,0.151413654,304.7280273,0.256843645,245.1538086,14.30029553,0.004475206,0.001491735,0,0,0.016823217,0.005607739
45,5.083182415,0.350789258,39,3,171,256,25.6,756.85,0.988,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,6.162401402,0.900789033,39,4,71,293.5,29.35,748.35,0.982,10,0.041391526,0.137564261,0.141339796,-0.917216948,-0.724871478,-0.717320408,268.9247658,0.488275898,213.7001953,0.123478952,261.387207,0.219922248,245.8046875,31.15962592,0.320295583,0.106765194,0.0459503,0.152715293,0.156906657,0.118524083
47,2.097872758,0.529926198,39,16,92.5,322.5,32.25,807.1,0.973,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7.061150789,0.621807157,39,17,60.5,237,23.7,680.6,0.969,10,0.078267748,0.034469606,0.808036903,-0.843464504,-0.931060787,0.616073806,228.0519002,0.978150333,265.8486328,0.560505344,285.1625977,0.391012864,245.1538086,55.38783222,0.920774257,0.306924752,0.125871417,0.05543456,1.299497592,0.49360119
49,6.099350684,0.310737245,39,18,76.5,293,29.3,665.1,0.966,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,6.569746138,0.456849573,39,19,72.5,311.5,31.15,680.35,0.962,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7.02813122,0.488074542,39,20,74.5,315.5,31.55,695.35,0.959,10,0.022568415,0,0.611470849,-0.95486317,-1,0.222941697,225.668656,0.483832186,213.7001953,0.321416256,310.8789063,0.323259143,245.1538086,36.13243159,0.634039263,0.211346421,0.046239689,0,1.252822665,0.433020785
52,1.865064422,0.778878066,41,2,78.5,316,31.6,607.85,0.956,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,6.382610208,0.789704223,41,7,77,317.5,31.75,716.1,0.955,10,,,0.448559883,,,-0.102880234,228.0519002,,310.7939453,,302.6777344,0.522431965,269.7773438,55.38783222,,,,,0.568009984,
54,6.637284609,0.64851761,41,8,55,300,30,686.85,0.955,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4.310018586,1.10E-14,41,11,48,262,26.2,759.6,0.961,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1.814277095,0.660753391,41,12,120.5,166.5,16.65,821.1,0.965,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1.913988254,0.308656733,41,13,79.5,276.5,27.65,654.6,0.962,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2.270982428,0.779384248,41,14,94.5,192.5,19.25,799.85,0.958,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2.364159507,0.708893186,41,15,57,332.5,33.25,688.6,0.954,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2.169713532,0.625652191,41,16,41.5,422,42.2,670.1,0.951,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.032419509,4.83E-14,41,17,134,370.5,37.05,575.1,0.947,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2.719086658,0.710140584,41,18,61.5,330.5,33.05,700.1,0.941,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1.970736844,0.342711132,41,19,97.5,278,27.8,700.35,0.94,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2.040444566,0.366384968,41,20,77,318,31.8,709.35,0.938,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,5.254351506,2.61E-14,42,10,79.5,319.5,31.95,672.85,0.926,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,4.049126633,0.623960864,42,7,77.5,317.5,31.75,709.35,0.964,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,4.205607296,0.681824059,42,8,77,320,32,727.1,0.959,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3.83988827,0.335386205,42,9,60,274.5,27.45,661.85,0.952,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,4.248693839,0.798646735,42,10,73,326,32.6,735.6,0.948,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3.861096852,0.90147443,42,15,78.5,304,30.4,746.6,0.944,10,0,0,0.002902691,-1,-1,-0.994194617,320.3142051,0.332333387,213.7001953,0.102019411,220.918457,0.245509429,245.8046875,19.06180794,0.002902691,0.000967564,0,0,0.003219938,0.001073313
71,5.081736604,0.497502815,42,21,64,276,27.6,708.35,0.94,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,4.807286741,0.987720392,42,22,72.5,360,36,713.1,0.935,10,0.013201318,0,0.537970135,-0.973597363,-1,0.07594027,236.5083965,0.456563807,264.6953125,0.112011369,286.1923828,0.25108652,245.1567383,28.87006061,0.551171454,0.183723818,0.013365441,0,0.544658326,0.186007922
